"","dem_age","dem_gender","dem_ethnicity","dem_employment","dem_education","car_ownership","bikeshare_use","dest_parking","cycling_frequ","cycling_history","escort","route_change","leave_cycleway","perception_safety_all","perception_speed_all","perception_stress_all","x_purpose_work","x_purpose_leisure","x_purpose_multi.mode","x_purpose_other","x_purpose_education","x_safety_gear_0","x_safety_gear_1","x_safety_gear_4","x_leave_reason_NA","x_leave_reason_cyclists","x_leave_reason_trafficlight","x_leave_reason_roadquality","x_leave_reason_pedestrians","x_leave_reason_other","x_leave_reason_intersection","x_stress_source_car","x_stress_source_intersection","x_stress_source_cyclist","x_stress_source_bus","x_stress_source_pedestrian","x_primary_purpose_work","x_primary_purpose_leisure","x_primary_purpose_shopping","x_primary_purpose_other","x_primary_purpose_social","x_primary_purpose_education","x_primary_purpose_hobby","x_primary_purpose_multi.mode","idx_2nd_purposes","idx_gear","idx_leave_reason_infrastructure"
"1",5,1,1,2,4,2,1,2,3,5,2,2,0,2,2,-2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.145833333333333,0
"2",4,1,1,NA,4,2,1,2,2,5,0,2,0,2,-1,-2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.125,0.0277777777777778,0
"3",3,1,1,2,4,2,1,2,2,5,2,0,1,2,-1,-1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.125,0.152777777777778,0
"4",2,0,1,2,4,0,1,1,3,3,0,1,0,NA,NA,NA,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.375,0.0347222222222222,0.25
"5",3,0,1,2,4,2,0,2,3,5,0,0,1,-1,-1,-1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.270833333333333,0.25
"6",5,1,1,2,4,3,0,2,2,5,0,0,0,2,-1,-1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.125,0.166666666666667,0
"7",3,1,1,2,4,2,0,0,2,5,0,2,0,2,-1,-2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.1875,0.277777777777778,0
"8",3,1,1,1,4,0,0,1,2,5,0,2,1,-1,-2,-1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.375,0.0416666666666667,0
"9",4,0,1,2,4,1,0,2,3,5,0,0,0,2,2,-2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.125,0.159722222222222,0
"10",4,1,1,2,4,2,1,2,3,5,2,0,1,2,-2,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.3125,0.152777777777778,0
"11",3,0,1,2,4,2,1,2,3,5,2,0,0,-1,-2,-2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.1875,0.0416666666666667,0
"12",2,1,1,2,4,3,1,1,3,5,0,0,1,2,-2,-2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.145833333333333,0.5
"13",4,1,1,2,4,3,1,2,2,5,2,1,0,NA,NA,NA,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.1875,0.270833333333333,0.5
"14",6,1,1,0,4,2,0,1,3,5,0,0,0,2,-1,-2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.3125,0.277777777777778,0
"15",4,0,1,2,4,1,1,1,3,5,0,0,1,-1,-2,-1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.375,0.159722222222222,0.25
"16",4,0,1,2,4,2,0,1,3,5,2,2,1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.3125,0.152777777777778,0.25
"17",5,1,1,0,4,2,0,2,3,5,0,0,1,-1,-2,-1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5625,0.138888888888889,0.5
"18",2,0,1,2,4,3,0,1,0,NA,0,1,0,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,0.159722222222222,0
"19",3,1,1,2,4,0,1,2,1,5,0,2,1,-1,-2,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.375,0.152777777777778,0.25
"20",2,1,1,2,4,2,0,2,2,5,0,2,0,2,2,-2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.3125,0.0347222222222222,0
"21",6,1,1,NA,4,2,0,NA,2,5,0,2,0,2,-2,-1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,0.159722222222222,0
